# observed_wavelength flux_16 flux_50 flux_84
# AA 1e-20erg/s/cm2/AA 1e-20erg/s/cm2/AA 1e-20erg/s/cm2/AA
# Morishita & Stiavelli (2022), 2207.11671
968.9 0.00000 0.00000 0.00000
1016.4 0.00000 0.00000 0.00000
1063.9 0.00000 0.00000 0.00000
1111.4 0.00000 0.00000 0.00000
1158.9 0.00000 0.00000 0.00000
1206.4 0.00000 0.00000 0.00000
1253.9 0.00000 0.00000 0.00000
1301.4 0.00000 0.00000 0.00000
1348.9 0.00000 0.00000 0.00000
1396.4 0.00000 0.00000 0.00000
1443.8 0.00000 0.00000 0.00000
1491.3 0.00000 0.00000 0.00000
1538.8 0.00000 0.00000 0.00000
1586.3 0.00000 0.00000 0.00000
1633.8 0.00000 0.00000 0.00000
1681.3 0.00000 0.00000 0.00000
1728.8 0.00000 0.00000 0.00000
1776.3 0.00000 0.00000 0.00000
1823.8 0.00000 0.00000 0.00000
1871.3 0.00000 0.00000 0.00000
1918.8 0.00000 0.00000 0.00000
1966.3 0.00000 0.00000 0.00000
2013.8 0.00000 0.00000 0.00000
2061.3 0.00000 0.00000 0.00000
2108.8 0.00000 0.00000 0.00000
2156.3 0.00000 0.00000 0.00000
2203.8 0.00000 0.00000 0.00000
2251.3 0.00000 0.00000 0.00000
2298.8 0.00000 0.00000 0.00000
2346.3 0.00000 0.00000 0.00000
2393.7 0.00000 0.00000 0.00000
2441.2 0.00000 0.00000 0.00000
2488.7 0.00000 0.00000 0.00000
2536.2 0.00000 0.00000 0.00000
2583.7 0.00000 0.00000 0.00000
2631.2 0.00000 0.00000 0.00000
2678.7 0.00000 0.00000 0.00000
2726.2 0.00000 0.00000 0.00000
2773.7 0.00000 0.00000 0.00000
2821.2 0.00000 0.00000 0.00000
2868.7 0.00000 0.00000 0.00000
2916.2 0.00000 0.00000 0.00000
2963.7 0.00000 0.00000 0.00000
3011.2 0.00000 0.00000 0.00000
3058.7 0.00000 0.00000 0.00000
3106.2 0.00000 0.00000 0.00000
3153.7 0.00000 0.00000 0.00000
3201.2 0.00000 0.00000 0.00000
3248.7 0.00000 0.00000 0.00000
3296.2 0.00000 0.00000 0.00000
3343.6 0.00000 0.00000 0.00000
3391.1 0.00000 0.00000 0.00000
3438.6 0.00000 0.00000 0.00000
3486.1 0.00000 0.00000 0.00000
3533.6 0.00000 0.00000 0.00000
3581.1 0.00000 0.00000 0.00000
3628.6 0.00000 0.00000 0.00000
3676.1 0.00000 0.00000 0.00000
3723.6 0.00000 0.00000 0.00000
3771.1 0.00000 0.00000 0.00000
3818.6 0.00000 0.00000 0.00000
3866.1 0.00000 0.00000 0.00000
3913.6 0.00000 0.00000 0.00000
3961.1 0.00000 0.00000 0.00000
4008.6 0.00000 0.00000 0.00000
4056.1 0.00000 0.00000 0.00000
4103.6 0.00000 0.00000 0.00000
4151.1 0.00000 0.00000 0.00000
4198.6 0.00000 0.00000 0.00000
4246.1 0.00000 0.00000 0.00000
4293.5 0.00000 0.00000 0.00000
4341.0 0.00000 0.00000 0.00000
4388.5 0.00000 0.00000 0.00000
4436.0 0.00000 0.00000 0.00000
4483.5 0.00000 0.00000 0.00000
4531.0 0.00000 0.00000 0.00000
4578.5 0.00000 0.00000 0.00000
4626.0 0.00000 0.00000 0.00000
4673.5 0.00000 0.00000 0.00000
4721.0 0.00000 0.00000 0.00000
4768.5 0.00000 0.00000 0.00000
4816.0 0.00000 0.00000 0.00000
4863.5 0.00000 0.00000 0.00000
4911.0 0.00000 0.00000 0.00000
4958.5 0.00000 0.00000 0.00000
5006.0 0.00000 0.00000 0.00000
5053.5 0.00000 0.00000 0.00000
5101.0 0.00000 0.00000 0.00000
5148.5 0.00000 0.00000 0.00000
5196.0 0.00000 0.00000 0.00000
5243.4 0.00000 0.00000 0.00000
5290.9 0.00000 0.00000 0.00000
5338.4 0.00000 0.00000 0.00000
5385.9 0.00000 0.00000 0.00000
5433.4 0.00000 0.00000 0.00000
5480.9 0.00000 0.00000 0.00000
5528.4 0.00000 0.00000 0.00000
5575.9 0.00000 0.00000 0.00000
5623.4 0.00000 0.00000 0.00000
5670.9 0.00000 0.00000 0.00000
5718.4 0.00000 0.00000 0.00000
5765.9 0.00000 0.00000 0.00000
5813.4 0.00000 0.00000 0.00000
5860.9 0.00000 0.00000 0.00000
5908.4 0.00000 0.00000 0.00000
5955.9 0.00000 0.00000 0.00000
6003.4 0.00000 0.00000 0.00000
6050.9 0.00000 0.00000 0.00000
6098.4 0.00000 0.00000 0.00000
6145.9 0.00000 0.00000 0.00000
6193.3 0.00000 0.00000 0.00000
6240.8 0.00000 0.00000 0.00000
6288.3 0.00000 0.00000 0.00000
6335.8 0.00000 0.00000 0.00000
6383.3 0.00000 0.00000 0.00000
6430.8 0.00000 0.00000 0.00000
6478.3 0.00000 0.00000 0.00000
6525.8 0.00000 0.00000 0.00000
6573.3 0.00000 0.00000 0.00000
6620.8 0.00000 0.00000 0.00000
6668.3 0.00000 0.00000 0.00000
6715.8 0.00000 0.00000 0.00000
6763.3 0.00000 0.00000 0.00000
6810.8 0.00000 0.00000 0.00000
6858.3 0.00000 0.00000 0.00000
6905.8 0.00000 0.00000 0.00000
6953.3 0.00000 0.00000 0.00000
7000.8 0.00000 0.00000 0.00000
7048.3 0.00000 0.00000 0.00000
7095.8 0.00000 0.00000 0.00000
7143.2 0.00000 0.00000 0.00000
7190.7 0.00000 0.00000 0.00000
7238.2 0.00000 0.00000 0.00000
7285.7 0.00000 0.00000 0.00000
7333.2 0.00000 0.00000 0.00000
7380.7 0.00000 0.00000 0.00000
7428.2 0.00000 0.00000 0.00000
7475.7 0.00000 0.00000 0.00000
7523.2 0.00000 0.00000 0.00000
7570.7 0.00000 0.00000 0.00000
7618.2 0.00000 0.00000 0.00000
7665.7 0.00000 0.00000 0.00000
7713.2 0.00000 0.00000 0.00000
7760.7 0.00000 0.00000 0.00000
7808.2 0.00000 0.00000 0.00000
7855.7 0.00000 0.00000 0.00000
7903.2 0.00000 0.00000 0.00000
7950.7 0.00000 0.00000 0.00000
7998.2 0.00000 0.00000 0.00000
8045.7 0.00000 0.00000 0.00000
8093.1 0.00000 0.00000 0.00000
8140.6 0.00000 0.00000 0.00000
8188.1 0.00000 0.00000 0.00000
8235.6 0.00000 0.00000 0.00000
8283.1 0.00000 0.00000 0.00000
8330.6 0.00000 0.00000 0.00000
8378.1 0.00000 0.00000 0.00000
8425.6 0.00000 0.00000 0.00000
8473.1 0.00000 0.00000 0.00000
8520.6 0.00000 0.00000 0.00000
8568.1 0.00000 0.00000 0.00000
8615.6 0.00000 0.00000 0.00000
8663.1 0.00000 0.00000 0.00000
8710.6 0.00000 0.00000 0.00000
8758.1 0.00000 0.00000 0.00000
8805.6 0.00000 0.00000 0.00000
8853.1 0.00000 0.00000 0.00000
8900.6 0.00000 0.00000 0.00000
8948.1 0.00000 0.00000 0.00000
8995.6 0.00000 0.00000 0.00000
9043.0 0.00000 0.00000 0.00000
9090.5 0.00000 0.00000 0.00000
9138.0 0.00000 0.00000 0.00000
9185.5 0.00000 0.00000 0.00000
9233.0 0.00000 0.00000 0.00000
9280.5 0.00000 0.00000 0.00000
9328.0 0.00000 0.00000 0.00000
9375.5 0.00000 0.00000 0.00000
9423.0 0.00000 0.00000 0.00000
9470.5 0.00000 0.00000 0.00000
9518.0 0.00000 0.00000 0.00000
9565.5 0.00000 0.00000 0.00000
9613.0 0.00000 0.00000 0.00000
9660.5 0.00000 0.00000 0.00000
9708.0 0.00000 0.00000 0.00000
9755.5 0.00000 0.00000 0.00000
9803.0 0.00000 0.00000 0.00000
9850.5 0.00000 0.00000 0.00000
9898.0 0.00000 0.00000 0.00000
9945.5 0.00000 0.00000 0.00000
9992.9 0.00000 0.00000 0.00000
10040.4 0.00000 0.00000 0.00000
10087.9 0.00000 0.00000 0.00000
10135.4 0.00000 0.00000 0.00000
10182.9 0.00000 0.00000 0.00000
10230.4 0.00000 0.00000 0.00000
10277.9 0.00000 0.00000 0.00000
10325.4 0.00000 0.00000 0.00000
10372.9 0.00000 0.00000 0.00000
10420.4 0.00000 0.00000 0.00000
10467.9 0.00000 0.00000 0.00000
10515.4 0.00000 0.00000 0.00000
10562.9 0.00000 0.00000 0.00000
10610.4 0.00000 0.00000 0.00000
10657.9 0.00000 0.00000 0.00000
10705.4 0.00000 0.00000 0.00000
10752.9 0.00000 0.00000 0.00000
10800.4 0.00000 0.00000 0.00000
10847.9 0.00000 0.00000 0.00000
10895.4 0.00000 0.00000 0.00000
10942.8 0.00000 0.00000 0.00000
10990.3 0.00000 0.00000 0.00000
11037.8 0.00000 0.00000 0.00000
11085.3 0.00000 0.00000 0.00000
11132.8 0.00000 0.00000 0.00000
11180.3 0.00000 0.00000 0.00000
11227.8 0.00000 0.00000 0.00000
11275.3 0.00000 0.00000 0.00000
11322.8 0.00000 0.00000 0.00000
11370.3 0.00000 0.00000 0.00000
11417.8 0.00000 0.00000 0.00000
11465.3 0.00000 0.00000 0.00000
11512.8 0.00000 0.00000 0.00000
11560.3 0.16427 2.46891 4.64671
11607.8 0.44513 2.47945 4.33750
11655.3 0.44657 2.49167 4.36275
11702.8 0.63465 1.96181 3.12137
11750.3 0.63833 1.97088 3.14070
11797.8 0.68493 1.56742 2.22675
11845.3 0.68716 1.57646 2.23790
11892.7 0.66164 1.02648 1.30804
11940.2 0.66343 1.03219 1.31379
11987.7 0.59208 0.78541 0.91366
12035.2 0.59493 0.78903 0.91694
12082.7 0.65717 0.74208 0.83062
12130.2 0.66012 0.74484 0.83245
12177.7 0.64425 0.72175 0.81679
12225.2 0.64715 0.72437 0.81848
12272.7 0.56086 0.63332 0.70565
12320.2 0.56333 0.63467 0.70788
12367.7 0.57419 0.65194 0.73424
12415.2 0.57635 0.65433 0.73693
12462.7 0.63295 0.70380 0.78292
12510.2 0.63558 0.70590 0.78514
12557.7 0.61636 0.68486 0.76264
12605.2 0.61878 0.68706 0.76494
12652.7 0.57930 0.64189 0.71207
12700.2 0.58165 0.64326 0.71399
12747.7 0.62053 0.68660 0.76324
12795.2 0.62287 0.68842 0.76529
12842.6 0.60951 0.67258 0.74394
12890.1 0.61176 0.67457 0.74566
12937.6 0.55199 0.61266 0.66657
12985.1 0.55393 0.61424 0.66803
13032.6 0.58757 0.64840 0.73792
13080.1 0.58938 0.64983 0.73977
13127.6 0.58521 0.64962 0.71749
13175.1 0.58672 0.65105 0.71940
13222.6 0.53375 0.59166 0.64573
13270.1 0.53549 0.59299 0.64694
13317.6 0.54419 0.60182 0.65630
13365.1 0.54605 0.60367 0.65749
13412.6 0.55768 0.61521 0.67910
13460.1 0.55869 0.61656 0.68061
13507.6 0.56010 0.61411 0.67389
13555.1 0.56188 0.61518 0.67570
13602.6 0.55319 0.60866 0.66653
13650.1 0.55395 0.60992 0.66797
13697.6 0.56472 0.62140 0.67988
13745.1 0.56246 0.61671 0.67312
13792.5 0.55144 0.60507 0.66157
13840.0 0.55322 0.60656 0.66305
13887.5 0.52933 0.58283 0.63874
13935.0 0.52995 0.58401 0.64022
13982.5 0.52329 0.57804 0.63375
14030.0 0.52479 0.57927 0.63501
14077.5 0.51793 0.57148 0.62293
14125.0 0.51918 0.57263 0.62413
14172.5 0.51501 0.57042 0.61883
14220.0 0.51635 0.57128 0.62010
14267.5 0.50089 0.54962 0.59447
14315.0 0.50246 0.55099 0.59549
14362.5 0.46324 0.52496 0.57558
14410.0 0.47723 0.52304 0.56670
14457.5 0.47721 0.52590 0.58269
14505.0 0.47856 0.52715 0.58377
14552.5 0.43256 0.48739 0.53534
14600.0 0.43363 0.48855 0.53593
14647.5 0.45316 0.51821 0.58538
14695.0 0.45408 0.51951 0.58628
14742.4 0.43408 0.49309 0.54649
14789.9 0.43516 0.49419 0.54728
14837.4 0.44120 0.49024 0.53314
14884.9 0.44222 0.49130 0.53410
14932.4 0.45976 0.49864 0.54300
14979.9 0.46063 0.49974 0.54400
15027.4 0.45916 0.49881 0.53966
15074.9 0.46029 0.49972 0.54052
15122.4 0.45832 0.50307 0.54621
15169.9 0.45941 0.50389 0.54676
15217.4 0.45003 0.49220 0.53231
15264.9 0.45094 0.49305 0.53310
15312.4 0.44610 0.48511 0.51839
15359.9 0.44696 0.48596 0.51932
15407.4 0.43847 0.47485 0.51670
15454.9 0.43957 0.47570 0.51767
15502.4 0.44966 0.48681 0.52549
15549.9 0.45067 0.48774 0.52614
15597.4 0.44651 0.48391 0.51726
15644.9 0.44741 0.48484 0.51808
15692.3 0.43673 0.47140 0.50945
15739.8 0.43762 0.47236 0.51036
15787.3 0.45499 0.48861 0.52351
15834.8 0.45604 0.48924 0.52419
15882.3 0.43673 0.46994 0.50699
15929.8 0.43795 0.47224 0.50721
15977.3 0.43937 0.47529 0.51056
16024.8 0.44013 0.47575 0.51135
16072.3 0.42312 0.45772 0.49354
16119.8 0.42406 0.45843 0.49435
16167.3 0.40947 0.44404 0.47719
16214.8 0.41022 0.44484 0.47799
16262.3 0.39788 0.43090 0.46183
16309.8 0.39851 0.43138 0.46253
16357.3 0.39680 0.42539 0.45587
16404.8 0.39728 0.42602 0.45653
