# observed_wavelength flux_16 flux_50 flux_84
# AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA
# Morishita & Stiavelli (2022), 2207.11671
883.6 0.00000 0.00000 0.00000
926.9 0.00000 0.00000 0.00000
970.3 0.00000 0.00000 0.00000
1013.6 0.00000 0.00000 0.00000
1056.9 0.00000 0.00000 0.00000
1100.2 0.00000 0.00000 0.00000
1143.5 0.00000 0.00000 0.00000
1186.8 0.00000 0.00000 0.00000
1230.1 0.00000 0.00000 0.00000
1273.5 0.00000 0.00000 0.00000
1316.8 0.00000 0.00000 0.00000
1360.1 0.00000 0.00000 0.00000
1403.4 0.00000 0.00000 0.00000
1446.7 0.00000 0.00000 0.00000
1490.0 0.00000 0.00000 0.00000
1533.4 0.00000 0.00000 0.00000
1576.7 0.00000 0.00000 0.00000
1620.0 0.00000 0.00000 0.00000
1663.3 0.00000 0.00000 0.00000
1706.6 0.00000 0.00000 0.00000
1749.9 0.00000 0.00000 0.00000
1793.2 0.00000 0.00000 0.00000
1836.6 0.00000 0.00000 0.00000
1879.9 0.00000 0.00000 0.00000
1923.2 0.00000 0.00000 0.00000
1966.5 0.00000 0.00000 0.00000
2009.8 0.00000 0.00000 0.00000
2053.1 0.00000 0.00000 0.00000
2096.4 0.00000 0.00000 0.00000
2139.8 0.00000 0.00000 0.00000
2183.1 0.00000 0.00000 0.00000
2226.4 0.00000 0.00000 0.00000
2269.7 0.00000 0.00000 0.00000
2313.0 0.00000 0.00000 0.00000
2356.3 0.00000 0.00000 0.00000
2399.7 0.00000 0.00000 0.00000
2443.0 0.00000 0.00000 0.00000
2486.3 0.00000 0.00000 0.00000
2529.6 0.00000 0.00000 0.00000
2572.9 0.00000 0.00000 0.00000
2616.2 0.00000 0.00000 0.00000
2659.5 0.00000 0.00000 0.00000
2702.9 0.00000 0.00000 0.00000
2746.2 0.00000 0.00000 0.00000
2789.5 0.00000 0.00000 0.00000
2832.8 0.00000 0.00000 0.00000
2876.1 0.00000 0.00000 0.00000
2919.4 0.00000 0.00000 0.00000
2962.7 0.00000 0.00000 0.00000
3006.1 0.00000 0.00000 0.00000
3049.4 0.00000 0.00000 0.00000
