# observed_wavelength flux_16 flux_50 flux_84
# AA 1e-20erg/s/cm2/AA 1e-20erg/s/cm2/AA 1e-20erg/s/cm2/AA
# Morishita & Stiavelli (2022), 2207.11671
1120.0 0.00000 0.00000 0.00000
1152.9 0.00000 0.00000 0.00000
1185.8 0.00000 0.00000 0.00000
1218.8 0.00000 0.00000 0.00000
1251.7 0.00000 0.00000 0.00000
1284.7 0.00000 0.00000 0.00000
1317.6 0.00000 0.00000 0.00000
1350.5 0.00000 0.00000 0.00000
1383.5 0.00000 0.00000 0.00000
1416.4 0.00000 0.00000 0.00000
1449.4 0.00000 0.00000 0.00000
1482.3 0.00000 0.00000 0.00000
1515.2 0.00000 0.00000 0.00000
1548.2 0.00000 0.00000 0.00000
1581.1 0.00000 0.00000 0.00000
1614.1 0.00000 0.00000 0.00000
1647.0 0.00000 0.00000 0.00000
1679.9 0.00000 0.00000 0.00000
1712.9 0.00000 0.00000 0.00000
1745.8 0.00000 0.00000 0.00000
1778.8 0.00000 0.00000 0.00000
1811.7 0.00000 0.00000 0.00000
1844.6 0.00000 0.00000 0.00000
1877.6 0.00000 0.00000 0.00000
1910.5 0.00000 0.00000 0.00000
1943.5 0.00000 0.00000 0.00000
1976.4 0.00000 0.00000 0.00000
2009.3 0.00000 0.00000 0.00000
2042.3 0.00000 0.00000 0.00000
2075.2 0.00000 0.00000 0.00000
2108.2 0.00000 0.00000 0.00000
2141.1 0.00000 0.00000 0.00000
2174.0 0.00000 0.00000 0.00000
2207.0 0.00000 0.00000 0.00000
2239.9 0.00000 0.00000 0.00000
2272.9 0.00000 0.00000 0.00000
2305.8 0.00000 0.00000 0.00000
2338.7 0.00000 0.00000 0.00000
2371.7 0.00000 0.00000 0.00000
2404.6 0.00000 0.00000 0.00000
2437.6 0.00000 0.00000 0.00000
2470.5 0.00000 0.00000 0.00000
2503.4 0.00000 0.00000 0.00000
2536.4 0.00000 0.00000 0.00000
2569.3 0.00000 0.00000 0.00000
2602.3 0.00000 0.00000 0.00000
2635.2 0.00000 0.00000 0.00000
2668.1 0.00000 0.00000 0.00000
2701.1 0.00000 0.00000 0.00000
2734.0 0.00000 0.00000 0.00000
2767.0 0.00000 0.00000 0.00000
2799.9 0.00000 0.00000 0.00000
2832.8 0.00000 0.00000 0.00000
2865.8 0.00000 0.00000 0.00000
2898.7 0.00000 0.00000 0.00000
2931.7 0.00000 0.00000 0.00000
2964.6 0.00000 0.00000 0.00000
2997.5 0.00000 0.00000 0.00000
3030.5 0.00000 0.00000 0.00000
3063.4 0.00000 0.00000 0.00000
3096.4 0.00000 0.00000 0.00000
3129.3 0.00000 0.00000 0.00000
3162.2 0.00000 0.00000 0.00000
3195.2 0.00000 0.00000 0.00000
3228.1 0.00000 0.00000 0.00000
3261.1 0.00000 0.00000 0.00000
3294.0 0.00000 0.00000 0.00000
3326.9 0.00000 0.00000 0.00000
3359.9 0.00000 0.00000 0.00000
3392.8 0.00000 0.00000 0.00000
3425.8 0.00000 0.00000 0.00000
3458.7 0.00000 0.00000 0.00000
3491.6 0.00000 0.00000 0.00000
3524.6 0.00000 0.00000 0.00000
3557.5 0.00000 0.00000 0.00000
3590.5 0.00000 0.00000 0.00000
3623.4 0.00000 0.00000 0.00000
3656.3 0.00000 0.00000 0.00000
3689.3 0.00000 0.00000 0.00000
3722.2 0.00000 0.00000 0.00000
3755.2 0.00000 0.00000 0.00000
3788.1 0.00000 0.00000 0.00000
3821.0 0.00000 0.00000 0.00000
3854.0 0.00000 0.00000 0.00000
3886.9 0.00000 0.00000 0.00000
3919.9 0.00000 0.00000 0.00000
3952.8 0.00000 0.00000 0.00000
3985.7 0.00000 0.00000 0.00000
4018.7 0.00000 0.00000 0.00000
4051.6 0.00000 0.00000 0.00000
4084.6 0.00000 0.00000 0.00000
4117.5 0.00000 0.00000 0.00000
4150.4 0.00000 0.00000 0.00000
4183.4 0.00000 0.00000 0.00000
4216.3 0.00000 0.00000 0.00000
4249.3 0.00000 0.00000 0.00000
4282.2 0.00000 0.00000 0.00000
4315.1 0.00000 0.00000 0.00000
4348.1 0.00000 0.00000 0.00000
4381.0 0.00000 0.00000 0.00000
4414.0 0.00000 0.00000 0.00000
4446.9 0.00000 0.00000 0.00000
4479.8 0.00000 0.00000 0.00000
4512.8 0.00000 0.00000 0.00000
4545.7 0.00000 0.00000 0.00000
4578.7 0.00000 0.00000 0.00000
4611.6 0.00000 0.00000 0.00000
4644.5 0.00000 0.00000 0.00000
4677.5 0.00000 0.00000 0.00000
4710.4 0.00000 0.00000 0.00000
4743.4 0.00000 0.00000 0.00000
4776.3 0.00000 0.00000 0.00000
4809.2 0.00000 0.00000 0.00000
4842.2 0.00000 0.00000 0.00000
4875.1 0.00000 0.00000 0.00000
4908.1 0.00000 0.00000 0.00000
4941.0 0.00000 0.00000 0.00000
4973.9 0.00000 0.00000 0.00000
5006.9 0.00000 0.00000 0.00000
5039.8 0.00000 0.00000 0.00000
5072.8 0.00000 0.00000 0.00000
5105.7 0.00000 0.00000 0.00000
5138.6 0.00000 0.00000 0.00000
5171.6 0.00000 0.00000 0.00000
